model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
llama,verbal,85.000,55.000,-35.294,-28.941,0.014,0.043,0.014,*,True
llama,lexical,87.500,75.000,-14.286,-12.138,0.083,0.279,0.083,.,False
llama,double,66.667,66.667,0.000,0.000,1.000,1.000,1.000,ns,False
llama,approximate,80.645,77.419,-4.000,-3.075,0.705,0.765,0.705,ns,False
llama,absolute,62.500,87.500,40.000,22.449,0.500,0.295,0.295,ns,False
claude-3-5-sonnet,verbal,85.000,60.000,-29.412,-24.118,0.059,0.083,0.059,.,False
claude-3-5-sonnet,lexical,91.667,83.333,-9.091,-8.176,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,double,66.667,66.667,0.000,0.000,1.000,1.000,1.000,ns,False
claude-3-5-sonnet,approximate,67.742,77.419,14.286,8.859,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,absolute,87.500,87.500,0.000,0.000,1.000,1.000,1.000,ns,False
gpt4o,verbal,90.000,60.000,-33.333,-29.314,0.014,0.032,0.014,*,True
gpt4o,lexical,83.333,79.167,-5.000,-4.002,0.564,0.726,0.564,ns,False
gpt4o,double,73.333,66.667,-9.091,-6.218,0.564,0.715,0.564,ns,False
gpt4o,approximate,77.419,64.516,-16.667,-12.186,0.157,0.271,0.157,ns,False
gpt4o,absolute,87.500,100.000,14.286,12.138,1.000,0.382,0.382,ns,False
