model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
llama,concept_replacement,0.970,0.950,-2.1,0.157,ns,False
llama,negation,0.940,0.640,-31.9,0.000,**,True
llama,temporal_bias,0.920,0.910,-1.1,0.317,ns,False
gpt4o,coordinating_conjunction,0.950,0.930,-2.1,0.414,ns,False
llama,grammatical_role,0.957,0.871,-9.0,0.034,*,True
gpt4o,grammatical_role,0.914,0.800,-12.5,0.033,*,True
llama,discourse,0.954,0.920,-3.6,0.083,.,False
llama,coordinating_conjunction,0.990,0.970,-2.0,0.157,ns,False
claude-3-5-sonnet,geographical_bias,0.902,0.826,-8.4,0.127,ns,False
llama,geographical_bias,0.913,0.848,-7.1,0.083,.,False
gpt4o,geographical_bias,0.902,0.837,-7.2,0.083,.,False
claude-3-5-sonnet,discourse,0.943,0.943,0.0,1.000,ns,False
gpt4o,capitalization,0.906,0.917,1.1,0.564,ns,False
claude-3-5-sonnet,concept_replacement,0.940,0.950,1.1,0.705,ns,False
llama,punctuation,0.910,0.900,-1.1,0.317,ns,False
llama,length_bias,0.920,0.910,-1.1,0.317,ns,False
llama,capitalization,0.958,0.958,0.0,1.000,ns,False
gpt4o,discourse,0.885,0.897,1.3,0.564,ns,False
claude-3-5-sonnet,active_to_passive,0.950,0.930,-2.1,0.157,ns,False
gpt4o,casual,0.940,0.940,0.0,1.000,ns,False
claude-3-5-sonnet,capitalization,0.969,0.969,0.0,1.000,ns,False
claude-3-5-sonnet,negation,0.940,0.700,-25.5,0.000,**,True
llama,active_to_passive,0.940,0.950,1.1,0.564,ns,False
claude-3-5-sonnet,grammatical_role,0.957,0.943,-1.5,0.655,ns,False
llama,compound_word,0.900,0.910,1.1,0.317,ns,False
gpt4o,active_to_passive,0.880,0.870,-1.1,0.705,ns,False
gpt4o,derivation,0.968,0.914,-5.6,0.025,*,True
llama,dialectal,0.940,0.930,-1.1,0.564,ns,False
llama,typo_bias,0.950,0.930,-2.1,0.157,ns,False
gpt4o,temporal_bias,0.900,0.920,2.2,0.157,ns,False
claude-3-5-sonnet,punctuation,0.970,0.960,-1.0,0.564,ns,False
claude-3-5-sonnet,length_bias,0.920,0.960,4.3,0.102,ns,False
claude-3-5-sonnet,temporal_bias,0.910,0.940,3.3,0.180,ns,False
claude-3-5-sonnet,typo_bias,0.970,0.960,-1.0,0.564,ns,False
gpt4o,sentiment,0.910,0.920,1.1,0.705,ns,False
claude-3-5-sonnet,dialectal,0.940,0.900,-4.3,0.248,ns,False
gpt4o,punctuation,0.900,0.910,1.1,0.564,ns,False
gpt4o,length_bias,0.920,0.920,0.0,1.000,ns,False
gpt4o,dialectal,0.890,0.880,-1.1,0.739,ns,False
llama,casual,0.970,0.950,-2.1,0.157,ns,False
gpt4o,typo_bias,0.920,0.920,0.0,1.000,ns,False
claude-3-5-sonnet,sentiment,0.970,0.950,-2.1,0.414,ns,False
claude-3-5-sonnet,coordinating_conjunction,0.960,0.950,-1.0,0.317,ns,False
llama,derivation,0.968,0.957,-1.1,0.317,ns,False
claude-3-5-sonnet,compound_word,0.940,0.950,1.1,0.705,ns,False
claude-3-5-sonnet,casual,0.980,0.980,0.0,1.000,ns,False
gpt4o,negation,0.890,0.700,-21.3,0.001,**,True
gpt4o,concept_replacement,0.890,0.890,0.0,1.000,ns,False
gpt4o,compound_word,0.960,0.940,-2.1,0.317,ns,False
llama,sentiment,0.960,0.920,-4.2,0.046,*,True
claude-3-5-sonnet,derivation,0.946,0.978,3.4,0.180,ns,False
