0,1,2
temporal_bias,0.94,0.87
geographical_bias,0.9230769230769231,0.8131868131868132
length_bias,0.96,0.87
typo_bias,0.927710843373494,0.6385542168674698
capitalization,0.9375,0.7
punctuation,0.9444444444444444,0.6444444444444445
derivation,0.9629629629629629,0.9444444444444444
compound_word,0.91,0.9
active_to_passive,0.93,0.86
grammatical_role,0.9305555555555556,0.875
coordinating_conjunction,0.96,0.93
concept_replacement,0.9393939393939394,0.9090909090909091
negation,0.9473684210526315,0.8842105263157894
discourse,0.9770114942528736,0.9080459770114943
sentiment,0.93,0.91
casual,0.94,0.89
dialectal,0.93,0.87
