model,modification,original_mean_f1,modified_mean_f1,weighted_delta,p_value,significance
claude,capitalization,60.676704014939304,56.44365079365079,-3.773813471609457,0.0791826825796808,.
gpt4o,sentiment,57.025363976583485,57.08108964206525,0.04892903080275204,0.9547075542182767,ns
gpt4o,punctuation,50.58538975644239,47.10551962657225,-2.9648930239723965,0.09782264085462093,.
llama,singlish,59.55034276725453,56.67659036225212,-2.5502889634230788,0.0927440846684101,.
gpt4o,derivation,55.5091328109231,55.50181323838612,-0.00638400103440643,0.939602252051041,ns
claude,derivation,56.30446469321149,54.351393609705624,-1.709467294600201,0.06788915486182899,.
claude,punctuation,45.388888888888886,37.33095238095238,-6.675797141134817,0.0006710874775375874,**
gpt4o,discourse,54.91177438545859,55.0067139650473,0.08258155452761783,0.8125422341993517,ns
claude,temporal_bias,53.26713902344154,48.99481470910042,-3.6879971752195417,0.017960477526078763,*
claude,negation,46.497071555895076,46.38791274085391,-0.08496641973837446,0.6767925648835518,ns
gpt4o,dialectal,51.64626915963813,54.93470911474476,2.8166128709535134,0.20425665230755297,ns
llama,coordinating_conjunction,73.38170936531593,73.62678305301257,0.22860324388255587,0.6528272284410972,ns
llama,derivation,60.10592892945834,58.87038508521884,-1.0989651680567123,0.14412703481601533,ns
gpt4o,typo_bias,49.70293071221863,50.25031373854903,0.4642853557960089,0.7087599983545603,ns
llama,punctuation,53.95032861874968,47.38113669955776,-5.688900804423015,0.002950756748777254,**
claude,concept_replacement,49.185148569231615,49.10364145658262,-0.06894825170380467,0.9160510722818964,ns
gpt4o,singlish,54.25242309433486,53.29012728828906,-0.8345121321714661,0.8925247978907329,ns
gpt4o,temporal_bias,57.03606850665673,53.207357535088626,-3.361894586118168,0.027470536176293376,*
llama,temporal_bias,57.11519572864109,55.80158870074836,-1.1538406696070502,0.17295491798842066,ns
claude,grammatical_role,60.32946658035247,57.998574384116544,-2.075111141341925,0.08528105891328075,.
claude,length_bias,48.2740632484878,43.35164835164835,-4.1439690812015595,0.2576027060322491,ns
llama,sentiment,59.94233860087518,58.20598552305869,-1.543386675643763,0.19212716862511903,ns
llama,concept_replacement,56.10009636653235,53.173265027936296,-2.5594607479119857,0.12565229732103522,ns
llama,casual,57.33864061073892,54.85839857088356,-2.180687573805354,0.32006017527077124,ns
claude,typo_bias,46.69337068160598,45.66666666666666,-0.8569155211085899,0.23672357063785732,ns
claude,dialectal,49.41610314159334,47.939714606381266,-1.2504040129344283,0.5723052485333482,ns
claude,discourse,53.17179733846401,52.15217652717653,-0.8797703043607973,0.2785170238295781,ns
claude,compound_word,51.45039411113282,49.717607973421934,-1.482735312836755,0.10880943004054569,ns
gpt4o,length_bias,50.42162583083299,55.33775438826589,4.18514164769159,0.07502816649594726,.
gpt4o,grammatical_role,59.69497389766701,61.74281895756026,1.8184226910392156,0.1934645464105179,ns
claude,active_to_passive,51.051976346093994,52.90907309425827,1.5859722848901643,0.33256561496743764,ns
llama,geographical_bias,62.561826869785335,63.29898572932629,0.6620827024827491,0.8502277103974246,ns
llama,grammatical_role,64.08161135659364,63.701302241344756,-0.3435585949316508,0.7554236504413918,ns
gpt4o,compound_word,54.48938694204732,52.89003973682496,-1.3884828096837258,0.5281061253470648,ns
claude,geographical_bias,65.99659471631789,61.51338313103019,-4.078649995772023,0.2847076595931157,ns
llama,active_to_passive,54.76084635126029,56.83021730952014,1.7987698218777493,0.21976847950216116,ns
llama,compound_word,58.0611555107559,57.09216326269388,-0.8545957726468966,0.17971249487899976,ns
gpt4o,capitalization,55.64769968593499,55.06068669892199,-0.5123000921364157,0.7260075904591834,ns
llama,negation,50.034851957311844,49.231428108433455,-0.33885279228587567,0.6871181879796189,ns
gpt4o,geographical_bias,64.27701799674118,69.1777721189486,4.4304182623128785,0.06506135663096013,.
llama,discourse,58.55475705256408,57.366485447625806,-1.0501719762489312,0.3946268662430952,ns
llama,dialectal,57.442762228858484,56.36415508964528,-0.9487618854241673,0.6460335914571025,ns
llama,capitalization,62.3314659197012,55.16638655462184,-6.429610266987999,0.04101242208944287,*
llama,typo_bias,53.18006293671928,54.72835353500988,1.3359803573856797,0.228870849260967,ns
claude,sentiment,54.54346015321625,51.57762291908633,-2.575448061310341,0.017153601700200603,*
claude,singlish,52.18675727866904,47.12384259259259,-4.34793066391729,0.049307961359425445,*
llama,length_bias,54.24769710255643,55.62248883540443,1.1922065408561278,0.5195720050168753,ns
gpt4o,casual,56.961200730708526,57.416081817342324,0.39928987242894937,0.3317638792470782,ns
claude,coordinating_conjunction,69.67993754879001,69.38152011922503,-0.27500773899493486,0.7167179110874253,ns
gpt4o,coordinating_conjunction,64.27329501099993,68.98842505399881,4.262549617519587,0.04109531296740256,*
claude,casual,50.49210160254579,49.286524133462905,-1.0266839065303943,0.5316330099698869,ns
gpt4o,negation,50.77629233511586,50.88517335308779,-4.571955617902834,0.4869553398235882,ns
gpt4o,active_to_passive,52.99539643766223,55.88923785002216,2.494835874803178,0.3257891629860271,ns
gpt4o,concept_replacement,52.96241705238244,57.130484279273205,3.5928068371014046,0.04642778129410519,*
