model,negation_type,original_mean_f1,modified_mean_f1,weighted_delta,sample_size,p_value,significance
claude,verbal,47.83913565426171,46.48526077097506,-1.137108226083918,28,0.5929800980174267,ns
claude,lexical,48.185735832794656,45.018315018315015,-2.6652555356653047,26,0.31731050786291415,ns
claude,double,43.8095238095238,46.98412698412698,2.60566433747879,14,0.6547208460185769,ns
claude,approximate,43.8095238095238,48.57142857142856,3.908496506218179,14,0.31731050786291415,ns
claude,absolute,46.27450980392156,46.17246898759503,-0.08496641973837446,28,0.6547208460185769,ns
llama,verbal,52.1318072683619,51.70612184267647,-0.3654728141377581,28,0.9668802437732631,ns
llama,lexical,51.45330160036042,51.593161740220566,0.11967924806544951,26,0.31731050786291415,ns
llama,double,45.7312925170068,48.19160997732426,2.042326101609607,14,0.5929800980174267,ns
llama,approximate,48.826530612244895,41.445578231292515,-6.231944268932307,14,0.10880943004054569,ns
llama,absolute,49.376705227545564,48.97653000594176,-0.33885279228587567,28,0.8657723749926214,ns
gpt4o,verbal,52.27507669734562,50.55249372476264,-1.4799525776884879,28,0.8666342477688243,ns
gpt4o,lexical,51.766321913380736,53.532056179115,1.5132760330347268,26,0.4652088184521418,ns
gpt4o,double,48.70181405895691,57.03514739229025,7.031438075998854,14,0.14412703481601533,ns
gpt4o,approximate,49.57482993197278,53.027210884353735,2.926343795092142,14,0.28504940740261275,ns
gpt4o,absolute,49.996165132719746,44.61402742915349,-4.571955617902834,28,0.3742593192802244,ns
